"행정구역","2025년01월_계_총인구수","2025년01월_계_연령구간인구수","2025년01월_계_0~9세","2025년01월_계_10~19세","2025년01월_계_20~29세","2025년01월_계_30~39세","2025년01월_계_40~49세","2025년01월_계_50~59세","2025년01월_계_60~69세","2025년01월_계_70~79세","2025년01월_계_80~89세","2025년01월_계_90~99세","2025년01월_계_100세 이상"
"서울특별시 용산구 한남동(1117068500)","14,059","14,059","870","903","1,493","2,507","2,400","2,247","1,891","1,109","542","96","1"
"서울특별시 용산구 서빙고동(1117069000)","12,448","12,448","632","1,344","1,529","1,473","2,090","2,127","1,703","844","577","122","7"
"서울특별시 용산구 보광동(1117070000)","7,186","7,186","152","360","846","1,114","964","1,291","1,331","711","356","60","1"
"서울특별시 성동구 (1120000000)","273,549","273,549","15,906","17,292","38,772","46,347","39,749","43,532","38,573","21,236","10,690","1,418","34"
"서울특별시 성동구 왕십리제2동(1120052000)","15,930","15,930","976","1,004","2,088","2,899","2,280","2,557","2,246","1,216","577","84","3"
"서울특별시 성동구 왕십리도선동(1120053500)","26,024","26,024","1,896","1,652","3,745","4,445","3,876","4,229","3,354","1,746","957","123","1"
"서울특별시 성동구 마장동(1120054000)","21,318","21,318","920","1,358","3,951","3,194","2,517","3,360","3,145","1,827","926","119","1"
"서울특별시 성동구 사근동(1120055000)","11,806","11,806","286","667","4,777","1,640","1,019","1,296","991","675","420","35","0"
"서울특별시 성동구 행당제1동(1120056000)","13,696","13,696","805","962","2,099","2,379","1,992","2,146","1,760","967","516","64","6"
"서울특별시 성동구 행당제2동(1120057000)","22,586","22,586","1,507","1,842","2,450","3,435","3,477","3,909","3,086","1,849","899","126","6"
"서울특별시 성동구 응봉동(1120058000)","14,690","14,690","903","1,433","1,589","2,030","2,474","2,567","1,840","1,126","644","83","1"
"서울특별시 성동구 금호1가동(1120059000)","14,568","14,568","1,014","1,018","1,428","2,273","2,471","2,289","2,145","1,260","577","92","1"
"서울특별시 성동구 금호2.3가동(1120061500)","21,033","21,033","1,443","1,177","2,253","3,713","3,359","3,373","2,985","1,734","876","116","4"
"서울특별시 성동구 금호4가동(1120062000)","14,047","14,047","1,122","908","1,232","2,391","2,483","2,132","1,945","1,169","574","89","2"
"서울특별시 성동구 옥수동(1120064500)","25,320","25,320","2,237","1,590","2,261","4,607","4,431","3,762","3,439","1,881","958","151","3"
"서울특별시 성동구 성수1가제1동(1120065000)","15,191","15,191","750","847","2,072","2,921","1,951","2,671","2,442","1,021","452","62","2"
"서울특별시 성동구 성수1가제2동(1120066000)","12,058","12,058","597","708","1,701","2,348","1,744","1,876","1,719","889","428","48","0"
"서울특별시 성동구 성수2가제1동(1120067000)","14,127","14,127","502","700","1,679","2,364","1,789","2,412","2,780","1,265","558","78","0"
"서울특별시 성동구 성수2가제3동(1120069000)","9,658","9,658","385","499","1,470","1,838","1,299","1,474","1,403","813","430","45","2"
"서울특별시 성동구 송정동(1120072000)","9,448","9,448","313","455","1,361","1,564","1,258","1,630","1,660","828","338","41","0"
"서울특별시 성동구 용답동(1120079000)","12,049","12,049","250","472","2,616","2,306","1,329","1,849","1,633","970","560","62","2"
"서울특별시 광진구 (1121500000)","331,589","331,589","13,982","22,885","56,600","55,433","46,382","52,235","45,985","24,922","11,512","1,606","47"
"서울특별시 광진구 화양동(1121571000)","22,866","22,866","277","597","9,983","4,867","1,953","1,924","1,583","1,102","524","54","2"
"서울특별시 광진구 군자동(1121573000)","18,677","18,677","560","906","4,082","3,425","2,363","2,543","2,552","1,438","723","80","5"
"서울특별시 광진구 중곡제1동(1121574000)","15,083","15,083","499","628","2,648","3,102","1,943","2,273","2,170","1,190","558","71","1"
"서울특별시 광진구 중곡제2동(1121575000)","20,150","20,150","737","1,200","3,167","3,622","2,679","3,232","3,081","1,677","677","78","0"
"서울특별시 광진구 중곡제3동(1121576000)","15,367","15,367","524","741","2,184","2,748","1,949","2,566","2,575","1,374","646","60","0"
"서울특별시 광진구 중곡제4동(1121577000)","27,237","27,237","923","1,594","3,624","4,107","3,401","4,940","4,826","2,594","1,092","130","6"
"서울특별시 광진구 능동(1121578000)","10,914","10,914","398","473","2,140","2,433","1,590","1,439","1,256","776","373","36","0"
"서울특별시 광진구 광장동(1121581000)","33,704","33,704","2,378","5,203","3,716","3,386","6,587","6,012","3,629","1,684","913","192","4"
"서울특별시 광진구 자양제1동(1121582000)","21,751","21,751","643","1,310","3,866","3,901","3,016","3,367","3,058","1,672","818","99","1"
"서울특별시 광진구 자양제2동(1121583000)","23,356","23,356","1,104","1,624","3,045","3,831","3,361","3,820","3,678","1,956","820","114","3"
"서울특별시 광진구 자양제3동(1121584000)","27,001","27,001","1,797","2,333","3,403","3,803","4,109","4,498","3,919","1,963","953","214","9"
"서울특별시 광진구 자양제4동(1121584700)","19,601","19,601","700","813","3,062","3,504","2,443","3,093","3,187","1,866","813","117","3"
"서울특별시 광진구 구의제1동(1121585000)","22,974","22,974","766","1,156","4,695","4,587","3,121","3,458","2,852","1,510","731","94","4"
"서울특별시 광진구 구의제2동(1121586000)","25,222","25,222","1,187","2,027","3,139","3,602","3,810","4,419","3,841","2,115","959","115","8"
"서울특별시 광진구 구의제3동(1121587000)","27,686","27,686","1,489","2,280","3,846","4,515","4,057","4,651","3,778","2,005","912","152","1"
"서울특별시 동대문구 (1123000000)","338,822","338,822","17,155","22,250","55,298","50,269","47,245","52,033","48,490","29,549","14,578","1,904","51"
"서울특별시 동대문구 용신동(1123053600)","38,647","38,647","1,833","1,871","6,900","7,221","5,435","5,730","5,090","2,874","1,500","189","4"
"서울특별시 동대문구 제기동(1123054500)","22,820","22,820","699","1,130","4,328","3,084","2,482","3,412","3,685","2,486","1,347","161","6"
"서울특별시 동대문구 전농제1동(1123056000)","32,810","32,810","1,895","2,113","4,918","4,731","4,737","5,403","4,793","2,684","1,337","193","6"
"서울특별시 동대문구 전농제2동(1123057000)","17,678","17,678","909","1,464","1,923","2,125","2,531","3,112","2,864","1,726","914","107","3"
"서울특별시 동대문구 답십리제1동(1123060000)","27,799","27,799","2,128","1,927","3,732","4,924","4,606","3,994","3,517","1,923","928","116","4"
"서울특별시 동대문구 답십리제2동(1123061000)","27,033","27,033","1,484","1,672","2,954","4,255","3,654","4,451","4,408","2,666","1,324","163","2"
"서울특별시 동대문구 장안제1동(1123065000)","37,029","37,029","1,900","2,470","4,608","5,952","5,860","5,767","5,677","3,333","1,295","162","5"
"서울특별시 동대문구 장안제2동(1123066000)","32,932","32,932","2,402","2,867","3,680","4,830","5,715","5,060","4,514","2,670","1,052","140","2"
"서울특별시 동대문구 청량리동(1123070500)","18,437","18,437","542","863","2,151","2,158","2,068","2,937","3,779","2,428","1,286","221","4"
"서울특별시 동대문구 회기동(1123071000)","10,157","10,157","285","664","3,319","1,490","1,123","1,203","942","657","407","64","3"
"서울특별시 동대문구 휘경제1동(1123072000)","13,340","13,340","601","756","3,623","1,998","1,555","1,832","1,457","951","496","68","3"
"서울특별시 동대문구 휘경제2동(1123073000)","24,007","24,007","893","1,818","5,658","3,152","2,966","3,533","2,981","1,981","906","116","3"
"서울특별시 동대문구 이문제1동(1123074000)","17,231","17,231","626","1,125","4,985","2,098","1,909","2,343","1,960","1,259","823","99","4"
"서울특별시 동대문구 이문제2동(1123075000)","18,902","18,902","958","1,510","2,519","2,251","2,604","3,256","2,823","1,911","963","105","2"
