"행정구역","2025년01월_계_총인구수","2025년01월_계_연령구간인구수","2025년01월_계_0~9세","2025년01월_계_10~19세","2025년01월_계_20~29세","2025년01월_계_30~39세","2025년01월_계_40~49세","2025년01월_계_50~59세","2025년01월_계_60~69세","2025년01월_계_70~79세","2025년01월_계_80~89세","2025년01월_계_90~99세","2025년01월_계_100세 이상"
"부산광역시 금정구 서제1동(2641051000)","4,288","4,288","32","126","300","311","472","743","1,134","728","398","44","0"
"부산광역시 금정구 서제2동(2641052000)","8,087","8,087","188","397","649","762","875","1,418","2,058","1,209","477","53","1"
"부산광역시 금정구 서제3동(2641053000)","9,875","9,875","203","382","799","840","1,012","1,739","2,526","1,584","727","62","1"
"부산광역시 금정구 금사회동동(2641055500)","6,896","6,896","146","271","475","595","727","1,166","1,821","1,197","463","33","2"
"부산광역시 금정구 부곡제1동(2641057000)","7,208","7,208","183","346","536","599","848","1,127","1,637","1,297","553","82","0"
"부산광역시 금정구 부곡제2동(2641058000)","16,673","16,673","658","1,352","2,286","1,693","2,246","2,937","2,828","1,720","847","104","2"
"부산광역시 금정구 부곡제3동(2641059000)","14,717","14,717","740","1,212","1,809","1,654","1,982","2,455","2,584","1,513","647","118","3"
"부산광역시 금정구 부곡제4동(2641059100)","11,516","11,516","344","635","1,086","1,121","1,372","1,990","2,490","1,724","678","73","3"
"부산광역시 금정구 장전제1동(2641060000)","17,528","17,528","571","1,156","6,024","1,833","1,865","2,042","2,011","1,324","603","96","3"
"부산광역시 금정구 장전제2동(2641061000)","25,883","25,883","2,087","2,591","2,894","3,146","4,413","3,788","3,418","2,269","1,105","168","4"
"부산광역시 금정구 선두구동(2641063500)","2,009","2,009","46","60","125","151","173","358","564","333","167","28","4"
"부산광역시 금정구 청룡노포동(2641066500)","9,156","9,156","347","611","826","783","950","1,568","1,914","1,395","671","88","3"
"부산광역시 금정구 남산동(2641067000)","25,737","25,737","640","1,552","3,518","2,474","2,669","4,678","5,249","3,175","1,584","195","3"
"부산광역시 금정구 구서제1동(2641068000)","18,274","18,274","928","1,773","1,886","1,973","2,665","3,273","3,136","1,774","761","105","0"
"부산광역시 금정구 구서제2동(2641069000)","30,575","30,575","1,533","2,887","3,314","2,972","4,009","5,367","5,715","3,148","1,396","232","2"
"부산광역시 금정구 금성동(2641070000)","904","904","25","107","55","45","123","137","216","132","52","12","0"
"부산광역시 강서구 (2644000000)","142,869","142,869","15,899","16,286","10,731","22,083","29,621","17,798","17,662","8,949","3,296","536","8"
"부산광역시 강서구 대저1동(2644051000)","5,638","5,638","115","208","357","490","511","871","1,504","1,045","465","70","2"
"부산광역시 강서구 대저2동(2644052000)","6,175","6,175","329","402","616","750","743","838","1,295","780","354","67","1"
"부산광역시 강서구 강동동(2644053000)","6,773","6,773","662","438","371","974","944","906","1,349","761","314","53","1"
"부산광역시 강서구 명지1동(2644053500)","54,346","54,346","8,194","6,682","3,836","10,657","12,656","5,215","4,416","2,001","590","97","2"
"부산광역시 강서구 명지2동(2644054500)","29,921","29,921","3,483","5,076","2,382","3,341","7,115","4,097","2,804","1,216","353","53","1"
"부산광역시 강서구 가락동(2644055000)","2,077","2,077","19","54","92","140","173","332","580","424","226","37","0"
"부산광역시 강서구 녹산동(2644056000)","17,794","17,794","1,666","1,483","1,410","3,146","3,682","2,416","2,308","1,141","469","73","0"
"부산광역시 강서구 가덕도동(2644058000)","4,297","4,297","105","128","281","411","477","758","1,204","633","254","45","1"
"부산광역시 강서구 신호동(2644059000)","15,848","15,848","1,326","1,815","1,386","2,174","3,320","2,365","2,202","948","271","41","0"
"부산광역시 연제구 (2647000000)","212,566","212,566","12,956","17,029","22,448","27,820","31,575","34,353","34,175","21,585","9,476","1,129","20"
"부산광역시 연제구 거제제1동(2647061000)","27,817","27,817","1,758","3,261","2,952","2,588","4,524","5,041","3,718","2,585","1,255","132","3"
"부산광역시 연제구 거제제2동(2647062000)","24,924","24,924","2,823","3,220","2,217","3,415","4,913","3,841","2,516","1,347","569","62","1"
"부산광역시 연제구 거제제3동(2647063000)","9,235","9,235","298","538","976","927","1,023","1,559","1,700","1,335","775","103","1"
"부산광역시 연제구 거제제4동(2647064000)","9,430","9,430","409","868","944","855","1,274","1,719","1,765","1,057","461","76","2"
"부산광역시 연제구 연산제1동(2647065000)","15,612","15,612","902","1,220","1,419","1,923","2,325","2,466","2,860","1,755","668","71","3"
"부산광역시 연제구 연산제2동(2647066000)","21,745","21,745","1,714","1,306","2,375","4,090","3,166","3,158","2,962","1,955","916","101","2"
"부산광역시 연제구 연산제3동(2647067000)","10,268","10,268","741","508","844","1,491","1,512","1,539","1,849","1,208","520","56","0"
"부산광역시 연제구 연산제4동(2647068000)","16,437","16,437","551","966","2,050","2,029","2,133","2,537","3,224","1,983","874","88","2"
"부산광역시 연제구 연산제5동(2647069000)","16,821","16,821","550","618","3,129","3,450","2,194","2,416","2,302","1,462","636","64","0"
"부산광역시 연제구 연산제6동(2647070000)","15,284","15,284","786","903","1,347","1,894","2,024","2,312","2,874","2,037","990","117","0"
"부산광역시 연제구 연산제8동(2647072000)","13,050","13,050","862","1,061","1,072","1,563","1,996","2,108","2,399","1,431","496","61","1"
"부산광역시 연제구 연산제9동(2647073000)","31,943","31,943","1,562","2,560","3,123","3,595","4,491","5,657","6,006","3,430","1,316","198","5"
"부산광역시 수영구 (2650000000)","171,871","171,871","8,163","11,343","20,993","23,228","23,489","26,645","28,402","19,584","8,798","1,196","30"
"부산광역시 수영구 남천제1동(2650066000)","16,680","16,680","1,048","1,434","1,894","2,204","2,457","2,771","2,442","1,536","766","128","0"
"부산광역시 수영구 남천제2동(2650067000)","13,433","13,433","833","1,246","1,302","1,405","1,974","2,440","2,270","1,312","555","94","2"
"부산광역시 수영구 수영동(2650073000)","13,738","13,738","431","568","1,510","1,585","1,541","2,097","2,671","2,174","1,043","117","1"
"부산광역시 수영구 망미제1동(2650074000)","25,600","25,600","1,199","1,889","2,190","2,744","3,458","3,821","4,919","3,542","1,572","260","6"
"부산광역시 수영구 망미제2동(2650075000)","9,768","9,768","418","663","863","1,109","1,323","1,658","1,828","1,309","535","61","1"
"부산광역시 수영구 광안제1동(2650076000)","24,833","24,833","771","1,386","4,537","4,146","3,178","3,382","3,612","2,571","1,106","142","2"
"부산광역시 수영구 광안제2동(2650077000)","18,329","18,329","806","1,249","2,643","2,780","2,586","2,736","2,605","1,873","923","116","12"
"부산광역시 수영구 광안제3동(2650078000)","9,134","9,134","162","314","1,793","1,564","1,050","1,175","1,444","1,099","473","59","1"
"부산광역시 수영구 광안제4동(2650079000)","13,115","13,115","742","860","1,434","1,864","1,948","2,081","1,998","1,383","726","75","4"
"부산광역시 수영구 민락동(2650080000)","27,241","27,241","1,753","1,734","2,827","3,827","3,974","4,484","4,613","2,785","1,099","144","1"
"부산광역시 사상구 (2653000000)","198,258","198,258","8,412","13,290","23,012","23,454","25,040","35,020","40,431","21,023","7,685","868","23"
"부산광역시 사상구 삼락동(2653058000)","4,982","4,982","147","234","386","455","483","977","1,253","714","307","26","0"
"부산광역시 사상구 모라제1동(2653059100)","25,845","25,845","1,022","1,752","2,643","2,897","3,185","4,536","5,692","2,950","1,048","116","4"
"부산광역시 사상구 모라제3동(2653059300)","8,979","8,979","120","311","476","548","847","1,596","2,320","1,819","841","98","3"
"부산광역시 사상구 덕포제1동(2653060000)","11,701","11,701","844","764","1,114","1,763","1,572","1,958","2,123","1,082","437","43","1"
"부산광역시 사상구 덕포제2동(2653061000)","11,819","11,819","468","797","1,211","1,272","1,418","2,157","2,647","1,379","424","45","1"
"부산광역시 사상구 괘법동(2653062000)","24,225","24,225","869","950","4,460","4,207","2,696","3,778","4,500","2,050","635","78","2"
"부산광역시 사상구 감전동(2653064500)","11,657","11,657","284","485","1,065","1,301","1,323","2,158","2,820","1,563","604","53","1"
"부산광역시 사상구 주례제1동(2653065000)","16,341","16,341","1,045","1,132","1,664","2,249","2,126","2,874","3,167","1,505","506","69","4"
"부산광역시 사상구 주례제2동(2653066000)","21,161","21,161","793","1,629","3,705","2,536","2,767","3,360","3,654","1,889","745","79","4"
"부산광역시 사상구 주례제3동(2653066100)","11,866","11,866","442","888","1,383","1,209","1,441","2,134","2,396","1,369","520","83","1"
"부산광역시 사상구 학장동(2653067000)","25,928","25,928","1,074","1,998","2,447","2,473","3,686","4,828","5,465","2,836","1,009","110","2"
"부산광역시 사상구 엄궁동(2653068000)","23,754","23,754","1,304","2,350","2,458","2,544","3,496","4,664","4,394","1,867","609","68","0"
"부산광역시 기장군 (2671000000)","175,527","175,527","13,732","19,527","15,409","20,832","32,060","27,559","23,735","14,986","6,695","960","32"
"부산광역시 기장군 기장읍(2671025000)","51,123","51,123","2,461","3,807","5,154","5,625","7,043","9,208","8,962","5,652","2,837","365","9"
"부산광역시 기장군 장안읍(2671025300)","8,604","8,604","341","399","787","980","979","1,487","1,827","1,097","600","101","6"
"부산광역시 기장군 정관읍(2671025600)","78,391","78,391","7,485","12,292","6,311","8,811","17,983","11,346","7,168","4,889","1,828","273","5"
"부산광역시 기장군 일광읍(2671025900)","30,017","30,017","3,241","2,609","2,689","4,894","5,299","4,264","3,992","2,033","847","143","6"
"부산광역시 기장군 철마면(2671033000)","7,392","7,392","204","420","468","522","756","1,254","1,786","1,315","583","78","6"
"대구광역시  (2700000000)","2,363,281","2,363,281","141,424","212,885","266,666","282,475","343,711","418,531","375,531","206,944","100,650","14,202","262"
"대구광역시 중구 (2711000000)","98,112","98,112","7,937","7,161","13,465","17,193","14,415","13,920","11,474","7,676","4,241","609","21"
"대구광역시 중구 동인동(2711051700)","10,034","10,034","470","597","1,525","1,871","1,293","1,446","1,321","900","513","94","4"
"대구광역시 중구 삼덕동(2711054500)","7,152","7,152","414","504","1,765","1,364","992","850","628","395","210","29","1"
"대구광역시 중구 성내1동(2711056500)","4,917","4,917","95","187","1,600","890","476","535","508","358","230","36","2"
"대구광역시 중구 성내2동(2711057500)","8,014","8,014","594","485","1,569","1,487","1,051","1,065","872","575","280","36","0"
"대구광역시 중구 성내3동(2711058500)","13,002","13,002","1,925","943","1,158","3,365","2,301","1,366","1,063","578","277","25","1"
"대구광역시 중구 대신동(2711059500)","7,335","7,335","582","533","632","1,146","1,093","1,171","1,117","668","349","42","2"
"대구광역시 중구 남산1동(2711064000)","5,012","5,012","306","336","821","794","694","700","643","429","262","26","1"
"대구광역시 중구 남산2동(2711065000)","7,117","7,117","742","524","831","1,307","1,134","953","736","562","273","53","2"
"대구광역시 중구 남산3동(2711066000)","5,977","5,977","318","510","521","631","941","983","941","672","399","61","0"
"대구광역시 중구 남산4동(2711067000)","16,301","16,301","1,502","1,380","1,523","2,442","2,504","2,535","2,055","1,482","769","103","6"
"대구광역시 중구 대봉1동(2711068000)","7,703","7,703","513","722","935","955","1,117","1,317","948","628","487","80","1"
"대구광역시 중구 대봉2동(2711069000)","5,548","5,548","476","440","585","941","819","999","642","429","192","24","1"
"대구광역시 동구 (2714000000)","342,133","342,133","20,447","26,015","35,774","44,208","48,136","57,070","56,580","34,631","16,943","2,284","45"
"대구광역시 동구 신암1동(2714051000)","11,014","11,014","898","581","1,142","1,654","1,409","1,707","1,656","1,145","741","78","3"
"대구광역시 동구 신암2동(2714052000)","11,723","11,723","1,028","991","926","1,727","1,887","1,795","1,577","1,088","610","93","1"
"대구광역시 동구 신암3동(2714053000)","11,301","11,301","1,157","739","1,038","2,248","1,606","1,586","1,491","935","443","57","1"
"대구광역시 동구 신암4동(2714054000)","18,336","18,336","1,079","936","2,380","3,479","2,207","3,054","2,846","1,572","694","85","4"
"대구광역시 동구 신암5동(2714054100)","7,564","7,564","427","406","697","1,027","910","1,234","1,460","889","470","44","0"
"대구광역시 동구 신천1.2동(2714055500)","11,373","11,373","342","691","1,199","1,170","1,372","1,946","2,133","1,521","893","106","0"
"대구광역시 동구 신천3동(2714057000)","14,241","14,241","1,106","1,199","1,599","2,270","2,180","2,354","1,882","1,026","532","92","1"
"대구광역시 동구 신천4동(2714058000)","10,320","10,320","619","490","1,491","2,018","1,384","1,497","1,404","912","440","64","1"
"대구광역시 동구 효목1동(2714059000)","11,898","11,898","271","558","1,226","1,063","1,261","2,023","2,605","1,858","953","79","1"
"대구광역시 동구 효목2동(2714060000)","13,990","13,990","674","940","1,489","1,792","1,836","2,319","2,455","1,601","785","98","1"
"대구광역시 동구 도평동(2714061500)","3,591","3,591","103","160","495","345","331","606","752","477","285","37","0"
"대구광역시 동구 불로.봉무동(2714062000)","19,863","19,863","1,383","2,271","1,868","2,038","3,381","3,442","2,977","1,681","715","105","2"
"대구광역시 동구 지저동(2714064000)","12,983","12,983","407","660","1,285","1,305","1,384","2,319","3,037","1,709","773","102","2"
"대구광역시 동구 동촌동(2714065500)","14,324","14,324","545","788","1,529","1,615","1,707","2,476","2,944","1,729","881","109","1"
"대구광역시 동구 방촌동(2714067000)","17,218","17,218","548","1,096","1,744","1,591","1,867","3,153","3,690","2,204","1,139","182","4"
"대구광역시 동구 해안동(2714068500)","13,629","13,629","459","737","1,413","1,380","1,502","2,381","2,803","1,914","907","128","5"
"대구광역시 동구 안심1동(2714072000)","38,138","38,138","2,195","3,400","3,980","4,086","5,673","6,328","6,580","3,861","1,791","240","4"
"대구광역시 동구 안심2동(2714073000)","16,417","16,417","1,097","1,009","1,795","2,545","2,174","3,025","2,624","1,466","587","94","1"
"대구광역시 동구 안심3동(2714074200)","20,229","20,229","1,522","2,594","2,163","2,417","3,700","3,377","2,149","1,477","725","104","1"
"대구광역시 동구 안심4동(2714074700)","26,753","26,753","1,577","2,705","3,161","3,132","4,134","4,857","3,934","2,150","973","128","2"
"대구광역시 동구 혁신동(2714075500)","16,916","16,916","1,918","1,820","1,481","3,129","3,628","1,942","1,709","918","319","49","3"
"대구광역시 동구 공산동(2714076000)","20,312","20,312","1,092","1,244","1,673","2,177","2,603","3,649","3,872","2,498","1,287","210","7"
"대구광역시 서구 (2717000000)","162,815","162,815","6,800","9,465","15,653","19,041","19,598","29,272","33,379","19,499","9,009","1,079","20"
"대구광역시 서구 내당1동(2717051000)","9,462","9,462","553","490","1,041","1,318","1,222","1,520","1,767","1,011","468","72","0"
"대구광역시 서구 내당2.3동(2717052500)","8,280","8,280","164","338","805","693","866","1,558","1,883","1,259","647","66","1"
"대구광역시 서구 내당4동(2717054000)","14,546","14,546","377","845","1,685","1,647","1,687","2,576","3,018","1,818","768","122","3"
"대구광역시 서구 비산1동(2717055000)","8,276","8,276","156","455","713","686","869","1,717","1,843","1,212","572","53","0"
"대구광역시 서구 비산2.3동(2717056500)","8,009","8,009","149","344","618","612","770","1,474","1,905","1,298","759","78","2"
"대구광역시 서구 비산4동(2717058000)","8,693","8,693","199","446","861","773","971","1,664","2,009","1,182","530","57","1"
"대구광역시 서구 비산5동(2717059000)","5,096","5,096","115","194","394","401","512","935","1,191","864","433","57","0"
"대구광역시 서구 비산6동(2717060000)","6,626","6,626","118","301","646","539","661","1,354","1,614","874","463","55","1"
"대구광역시 서구 비산7동(2717061000)","8,429","8,429","257","380","711","815","868","1,672","1,917","1,192","569","46","2"
"대구광역시 서구 평리1동(2717062000)","6,579","6,579","139","365","594","594","676","1,309","1,496","872","474","59","1"
"대구광역시 서구 평리2동(2717063000)","7,154","7,154","321","571","644","677","975","1,277","1,479","824","352","33","1"
"대구광역시 서구 평리3동(2717064000)","12,417","12,417","743","762","1,096","1,740","1,690","2,095","2,394","1,256","579","61","1"
"대구광역시 서구 평리4동(2717065000)","15,785","15,785","669","1,117","1,605","1,659","2,124","2,840","3,249","1,726","705","90","1"
"대구광역시 서구 평리5동(2717066000)","10,000","10,000","1,341","631","869","2,650","1,503","1,204","1,047","538","200","16","1"
"대구광역시 서구 평리6동(2717066100)","5,532","5,532","327","282","539","982","632","1,008","1,038","498","196","30","0"
"대구광역시 서구 상중이동(2717067500)","17,701","17,701","668","1,441","1,814","1,743","2,298","3,264","3,663","1,940","754","113","3"
"대구광역시 서구 원대동(2717069500)","10,230","10,230","504","503","1,018","1,512","1,274","1,805","1,866","1,135","540","71","2"
"대구광역시 남구 (2720000000)","136,642","136,642","5,328","8,111","16,770","16,320","17,044","23,059","24,085","15,973","8,604","1,324","24"
"대구광역시 남구 이천동(2720051500)","13,995","13,995","910","1,023","1,292","1,905","2,008","2,335","1,983","1,430","942","164","3"
"대구광역시 남구 봉덕1동(2720053000)","8,007","8,007","187","391","857","887","1,006","1,458","1,518","993","605","102","3"
"대구광역시 남구 봉덕2동(2720054000)","13,085","13,085","1,004","1,083","1,055","1,658","1,931","2,050","2,083","1,348","736","133","4"
"대구광역시 남구 봉덕3동(2720055000)","14,605","14,605","508","1,078","1,563","1,396","1,900","2,546","2,665","1,780","991","178","0"
"대구광역시 남구 대명1동(2720056000)","9,670","9,670","255","620","1,250","1,087","1,152","1,717","1,791","1,163","570","64","1"
"대구광역시 남구 대명2동(2720057100)","11,686","11,686","450","611","2,262","1,739","1,351","1,744","1,668","1,140","624","96","1"
"대구광역시 남구 대명3동(2720058600)","9,468","9,468","184","444","1,306","948","1,017","1,597","1,894","1,326","660","91","1"
"대구광역시 남구 대명4동(2720059000)","9,609","9,609","260","472","1,189","934","991","1,668","2,078","1,295","634","85","3"
"대구광역시 남구 대명5동(2720060000)","6,511","6,511","320","346","1,166","978","758","970","955","622","339","57","0"
"대구광역시 남구 대명6동(2720061000)","10,775","10,775","503","665","1,356","1,408","1,481","1,860","1,786","1,111","511","91","3"
"대구광역시 남구 대명9동(2720064000)","13,581","13,581","390","737","1,743","1,672","1,725","2,450","2,413","1,543","793","114","1"
"대구광역시 남구 대명10동(2720065000)","8,161","8,161","179","343","1,005","933","911","1,384","1,580","1,129","619","75","3"
"대구광역시 남구 대명11동(2720066000)","7,489","7,489","178","298","726","775","813","1,280","1,671","1,093","580","74","1"
"대구광역시 북구 (2723000000)","412,347","412,347","23,441","37,964","53,035","47,713","59,170","77,593","63,060","32,360","15,861","2,108","42"
"대구광역시 북구 고성동(2723051000)","12,797","12,797","1,738","991","1,103","3,283","2,302","1,409","1,046","612","266","46","1"
"대구광역시 북구 칠성동(2723052600)","21,522","21,522","1,470","2,070","2,434","3,130","3,513","3,337","2,766","1,693","959","146","4"
"대구광역시 북구 침산1동(2723055000)","3,591","3,591","100","163","296","338","354","668","911","518","210","31","2"
"대구광역시 북구 침산2동(2723056000)","17,420","17,420","1,395","2,241","1,774","2,101","3,093","2,983","2,035","1,133","587","73","5"
"대구광역시 북구 침산3동(2723057000)","18,215","18,215","1,168","1,945","1,896","1,766","2,776","3,413","2,734","1,571","843","101","2"
"대구광역시 북구 산격1동(2723061000)","7,850","7,850","109","331","551","591","735","1,442","1,917","1,364","726","83","1"
"대구광역시 북구 산격2동(2723062000)","9,782","9,782","358","711","1,160","1,014","1,128","1,875","1,959","1,022","497","57","1"
"대구광역시 북구 산격3동(2723063000)","8,228","8,228","150","350","2,446","974","765","1,036","1,222","829","400","56","0"
"대구광역시 북구 산격4동(2723063100)","7,366","7,366","175","386","866","858","820","1,245","1,523","968","467","58","0"
"대구광역시 북구 대현동(2723064500)","15,850","15,850","582","1,040","2,697","1,503","1,997","2,560","2,589","1,775","980","127","0"
"대구광역시 북구 복현1동(2723067100)","6,843","6,843","98","245","2,382","918","617","958","925","478","190","32","0"
"대구광역시 북구 복현2동(2723067200)","29,085","29,085","1,806","2,885","3,862","3,779","4,286","5,039","4,426","2,022","852","126","2"
"대구광역시 북구 검단동(2723068000)","5,728","5,728","153","296","477","584","702","954","1,288","820","399","55","0"
"대구광역시 북구 무태조야동(2723069500)","33,557","33,557","2,335","3,373","3,578","3,392","5,539","7,060","4,602","2,554","1,006","117","1"
"대구광역시 북구 관문동(2723071500)","33,110","33,110","2,916","3,344","2,902","4,098","5,917","5,747","4,864","2,292","899","128","3"
"대구광역시 북구 태전1동(2723072500)","21,494","21,494","838","1,523","3,631","2,363","2,556","4,065","3,713","1,772","883","146","4"
"대구광역시 북구 태전2동(2723073500)","22,477","22,477","1,034","1,987","2,982","2,319","2,904","4,437","3,857","1,961","882","110","4"
"대구광역시 북구 구암동(2723074500)","31,717","31,717","1,491","3,825","4,290","2,815","4,648","7,275","4,497","1,728","1,018","127","3"
"대구광역시 북구 관음동(2723075000)","14,525","14,525","454","1,095","1,730","1,356","1,617","3,107","3,002","1,370","711","80","3"
"대구광역시 북구 읍내동(2723077000)","24,189","24,189","1,089","1,901","3,202","2,754","2,813","4,935","4,442","1,887","1,019","145","2"
"대구광역시 북구 동천동(2723078000)","25,624","25,624","1,362","3,303","3,587","2,398","3,907","6,035","2,963","1,201","776","90","2"
"대구광역시 북구 노원동(2723079000)","11,154","11,154","470","575","1,014","1,446","1,321","1,971","2,399","1,391","510","56","1"
"대구광역시 북구 국우동(2723080000)","30,223","30,223","2,150","3,384","4,175","3,933","4,860","6,042","3,380","1,399","781","118","1"
"대구광역시 수성구 (2726000000)","409,676","409,676","25,266","47,325","45,034","41,645","64,353","74,840","58,677","32,981","16,878","2,634","43"
"대구광역시 수성구 범어1동(2726051000)","21,129","21,129","2,106","2,972","2,042","2,399","4,050","3,511","2,113","1,216","637","82","1"
"대구광역시 수성구 범어2동(2726052000)","14,300","14,300","849","1,610","1,913","1,707","2,202","2,466","1,856","1,038","579","79","1"
"대구광역시 수성구 범어3동(2726053000)","17,399","17,399","1,876","2,247","1,881","2,275","3,421","2,903","1,575","770","393","58","0"
"대구광역시 수성구 범어4동(2726054000)","18,927","18,927","1,390","4,261","1,700","1,063","4,407","3,237","1,479","897","422","70","1"
"대구광역시 수성구 만촌1동(2726055000)","20,706","20,706","1,257","2,140","2,198","1,964","2,984","3,773","3,199","2,004","1,026","158","3"
"대구광역시 수성구 만촌2동(2726056000)","11,630","11,630","571","1,297","1,527","1,207","1,726","2,156","1,623","968","483","70","2"
"대구광역시 수성구 만촌3동(2726056100)","21,221","21,221","1,492","3,945","2,215","1,578","4,529","3,887","1,901","1,062","539","72","1"
"대구광역시 수성구 수성1가동(2726057000)","17,035","17,035","941","1,951","1,775","1,485","2,535","3,206","2,292","1,676","1,014","153","7"
"대구광역시 수성구 수성2.3가동(2726058000)","10,407","10,407","700","1,435","1,053","805","1,752","1,874","1,390","866","473","58","1"
"대구광역시 수성구 수성4가동(2726059000)","13,326","13,326","468","1,172","1,582","1,211","1,562","2,778","2,343","1,343","736","127","4"
"대구광역시 수성구 황금1동(2726060100)","21,894","21,894","1,610","3,495","2,236","1,653","3,783","4,203","2,754","1,381","654","124","1"
"대구광역시 수성구 황금2동(2726060200)","11,247","11,247","699","878","1,408","1,497","1,732","1,846","1,546","1,068","508","65","0"
"대구광역시 수성구 중동(2726061000)","14,558","14,558","1,220","1,166","1,490","2,161","2,485","2,398","1,919","1,092","532","94","1"
"대구광역시 수성구 상동(2726062000)","14,411","14,411","583","1,052","1,554","1,471","1,917","2,533","2,689","1,629","844","139","0"
"대구광역시 수성구 파동(2726063000)","15,285","15,285","1,066","1,104","1,244","2,150","2,333","2,413","2,509","1,595","746","123","2"
"대구광역시 수성구 두산동(2726064000)","14,811","14,811","932","1,175","1,983","2,152","2,251","2,681","2,128","1,028","414","64","3"
"대구광역시 수성구 지산1동(2726065100)","19,233","19,233","512","1,307","2,356","1,864","2,187","3,674","3,667","2,283","1,192","189","2"
"대구광역시 수성구 지산2동(2726065200)","18,720","18,720","847","1,642","1,987","1,967","2,436","3,480","3,386","1,883","922","167","3"
"대구광역시 수성구 범물1동(2726066100)","10,030","10,030","209","458","785","743","915","1,653","2,382","1,766","967","148","4"
"대구광역시 수성구 범물2동(2726066200)","15,824","15,824","877","1,648","1,622","1,556","2,349","2,884","2,798","1,439","562","88","1"
"대구광역시 수성구 고산1동(2726067000)","31,373","31,373","1,863","4,339","3,704","2,918","4,970","6,093","4,431","1,911","994","149","1"
"대구광역시 수성구 고산2동(2726068000)","26,219","26,219","1,732","2,766","3,041","2,968","3,728","4,927","3,973","1,960","975","147","2"
"대구광역시 수성구 고산3동(2726069000)","29,991","29,991","1,466","3,265","3,738","2,851","4,099","6,264","4,724","2,106","1,266","210","2"
"대구광역시 달서구 (2729000000)","521,673","521,673","29,276","49,334","62,294","60,481","74,938","97,194","85,115","41,874","18,641","2,486","40"
"대구광역시 달서구 성당동(2729051500)","21,000","21,000","900","1,838","2,058","2,132","2,985","3,645","3,899","2,380","1,044","115","4"
"대구광역시 달서구 두류1.2동(2729053500)","14,543","14,543","572","672","1,962","2,186","1,762","2,320","2,575","1,590","826","78","0"
"대구광역시 달서구 두류3동(2729055000)","8,720","8,720","357","584","1,042","1,079","1,046","1,490","1,528","1,013","520","59","2"
"대구광역시 달서구 감삼동(2729055500)","30,576","30,576","2,482","2,718","3,710","4,689","4,649","5,314","4,245","1,944","743","81","1"
"대구광역시 달서구 죽전동(2729056300)","14,375","14,375","670","844","1,978","2,247","1,767","2,496","2,620","1,192","493","66","2"
"대구광역시 달서구 장기동(2729056800)","15,654","15,654","826","1,392","1,887","1,883","2,226","3,030","2,565","1,276","506","62","1"
"대구광역시 달서구 용산1동(2729057100)","28,842","28,842","1,229","2,795","3,968","3,131","3,734","6,447","4,734","1,860","860","82","2"
"대구광역시 달서구 용산2동(2729057200)","25,621","25,621","1,021","2,205","3,264","2,699","3,311","5,866","4,698","1,654","817","85","1"
"대구광역시 달서구 이곡1동(2729057600)","20,468","20,468","806","1,721","2,952","2,344","2,542","4,664","3,419","1,340","590","88","2"
"대구광역시 달서구 이곡2동(2729057700)","14,642","14,642","523","987","1,793","1,711","1,785","2,993","3,114","1,217","471","47","1"
"대구광역시 달서구 신당동(2729058500)","28,482","28,482","828","1,787","6,371","3,050","2,992","5,535","4,584","2,148","1,044","141","2"
"대구광역시 달서구 본리동(2729059000)","22,535","22,535","1,742","2,403","2,175","3,210","3,780","3,964","3,247","1,416","522","76","0"
"대구광역시 달서구 월성1동(2729060100)","40,044","40,044","3,546","7,504","4,065","3,675","8,575","7,284","3,122","1,569","584","120","0"
"대구광역시 달서구 월성2동(2729060200)","13,987","13,987","314","823","1,261","986","1,529","2,630","2,923","2,284","1,095","141","1"
"대구광역시 달서구 진천동(2729061500)","49,828","49,828","3,208","4,682","5,680","5,978","7,340","9,141","7,971","3,854","1,711","261","2"
"대구광역시 달서구 유천동(2729061700)","33,219","33,219","4,647","5,664","2,476","4,721","7,857","4,479","2,177","860","300","36","2"
"대구광역시 달서구 상인1동(2729062400)","33,021","33,021","1,804","3,745","3,922","3,159","4,535","6,385","5,518","2,635","1,135","180","3"
"대구광역시 달서구 상인2동(2729062500)","17,493","17,493","744","1,136","2,460","2,491","2,034","3,034","3,316","1,517","682","79","0"
"대구광역시 달서구 상인3동(2729062600)","9,890","9,890","186","392","710","765","902","1,625","2,677","1,695","802","131","5"
"대구광역시 달서구 도원동(2729062800)","32,095","32,095","1,297","2,730","3,489","3,065","3,952","6,336","6,794","2,980","1,281","165","6"
"대구광역시 달서구 송현1동(2729063000)","16,568","16,568","443","892","1,954","1,765","1,931","3,156","3,384","1,996","922","123","2"
"대구광역시 달서구 송현2동(2729064000)","18,298","18,298","698","1,033","1,895","2,165","2,181","3,169","3,688","2,191","1,104","173","1"
"대구광역시 달서구 본동(2729065000)","11,772","11,772","433","787","1,222","1,350","1,523","2,191","2,317","1,263","589","97","0"
"대구광역시 달성군 (2771000000)","257,469","257,469","22,456","26,666","23,702","34,708","44,406","41,895","37,010","17,765","7,640","1,197","24"
"대구광역시 달성군 화원읍(2771025000)","46,200","46,200","2,326","3,843","5,109","4,976","5,694","9,302","8,878","4,115","1,712","244","1"
"대구광역시 달성군 논공읍(2771025300)","4,313","4,313","219","165","287","487","489","780","998","547","298","43","0"
