id,comment
imself_made,아직 1년도 안됬는데 마스크 안쓴게 부자연스럽고 순간적으로 거부감이듬 진짜로 지금이 사태가 얼마나 우리 일상에 뿌리밖았는지 깨닳게 되더라 그래서 진짜 제발 이번 1주일간 싸돌아다니지말고 진짜 우리나라 빨리 위기에서 벗어나도록 다같이 노력했으면 합니다ㅠㅠ
jang4070,티켓팅 성공한 기념으로 찾아왔습니다~~~~
ya-gz2he,콜드플레이에서 한국공연 한번 더 진행하고 싶댔는데..현대카드측에서는 한번 공연한 팀은 자기들은 진행 안한다고... 얼마전 기사에서 봤네요.ㅜㅜ
aphim7066,"2020년 10월입니다. 생존자는 손을 들어주세요이제 11월이네요. 환절기 감기 조심하세요벌써 12월입니다. 코로나가 다시 유행하니, 코로나 조심하세요2021년 새해입니다! 새해 복 많이 받으시고 올해도 코로나 조심합시다.벌써 2월이네요. 딱히 쓸 말이 없으니 명언 하나 적겠습니다. ""무엇이든 이루어지기 전까지는 불가능해 보인다."" 넬슨 만델라3월 3.1절입니다. 이제 개학입니다.  학생 여러분 파이팅! 이제 코로나 백신 접종도 시작했으니 성과를 보이길.4월입니다. 이제 정말 뭘 써야 될지 모르겠습니다. 대댓글로 뭘 쓸지 추천해주세요! 학생 여러분, 중간고사 화이팅!5월, 늦었다 모두 중간고사는 잘 보셨나요?6월입니다. 벌써 여름이네요. 요즘 코로나와 더불어 식중독균도 유행하니 음식 관리 잘하시기 바랍니다. 이번 여름에 엄청난 무더위가 찾아온다는데 과연 어떻게 지날지 모르겠네요. 곧 기말고사 이기도하니 기말고사 파이팅!7월, 기말고사 못봐서 유튜브하지 말래요. 다시 기말고사 잘 보는 날까지 안녕."
truwizla7712,나중에 꼭 콜드플레이의 영화가 나왔으면 좋겠다.마지막 장면을 viva la vida를 이런식으로 연출하는거지..캬...생각만해도...그때까지 꼭 살아야겠다 ㄹㅇ
Goggwaeng_i,다시 한번 부를때가 온거 같군
김예현-m1l,내일 수능이다 이 노래 듣고 잔다 만점 받을 것 같은 기분이다 수능 까짓거 내가 조진다
minhwa6962,"Viva la vida ""인생이여 만세""와 이 노래 가사 내용이 연결 안되어 몇날을 곰곰히 생각해 보았더니/ 강력한 왕권의 군주도 권력이 덧없었음을 회상하듯이 말하는것으로 이 세상 모든것을 가져도 덧없으므로/ 왕으로서 알려주니 그냥 인생을 즐겨라"
hahaveto,3:11 팔찌 동시에 다켜지면서 떼창ㄷㄷ 진짜 온몸에 소름 돋는다
몽밍이-f8g,2017년에 이어서 콜플 내한 할때마다 왕의 몰락인가..
YunWon1,화려한 조명이 나를 감싼 옳은 예
정글의법칙-t4f,이거 들으려고 소니 헤드셋 샀다.. 후회 절대안한다 자본주의 맛이 존나 달구나
oops-fell-downed,성베드로가 내이름을 부르진 않겠지= 난 천국엔 못갈거야베드로는 예수님한테 천국의열쇠를 받았고 그앞을 지키고있다고 여겨진다는군요
복싱제일,"""성공한 사람에게는 추억을""""성공하려는 자에게는 용기를"""
박수환-m6x,어떤 사람은 한 순간의 추억을 가지고 평생을 산다는 말이 있는데  내가 저 공연에 있다면  충분히 가능할 것 같다
임한결-d3c,데뷔할 때만 해도 20대였던 크리스와 멤버들..어느덧 벌써 40이 넘어가셨네..진짜 가장 멋진 청춘을 보낸 듯..
Chef_kh,3:13 가수입장에서 어느정도의 전율이 느껴질까
donnie____,때가 되었다 7년전에 취준생이라 돈도 시간도 없어서 가지 못했던 설움을 드디어 내냔 4월에 풀게되었다. 지금까지 견딘 나 자신 칭찬해
공리나,내한왔을때 광클해서 펜스 둘째줄 쯤에서 봤는데.. 인생운 다쓴듯. 코로나 시국이 올줄 상상도 못했던 시절... 언젠가 한국에서 또 viva la vida 떼창할수 있길
이스코-c7p,가사가 너무좋네요.몰락한 왕과 옛 왕국의 영광 그리고 혁명후반부에 워어~하는 부분은 마치 왕궁을 둘러싸고 부패한 왕을 규탄하고 혁명을 부르짖는 성난군중들을 표현하는 느낌
이루리-l8s,북치는 애들 왜 맨날 고개 흔들면서 정줄 놓은 거마냥 치는가 했더니 ㅋㅋㅋㅋㅋ 쳐보니까 알겠더라 진짜 뒤질 거 같음 ㅋㅋㅋㅋㅋ 정줄을 안 놓으면 칠 수가 없음 ㅋㅋㅋㅋㅋㅋㅋ
숮-g7l,"진짜 들을 때마다 매순간 빠짐없이 벅차오르는 개미친 노래 .., ㄹㅇ 죽기 전에는 꼭 라이브로 듣고싶음"
레나테나,분명히 쫓겨난 왕이 죽는 내용인데 새로운 왕이 행진하는것  같은 노래
허재석-r3p,03:12 워오워오어~~워오워어어오워~~~워오워오어~~워오워어어오워~~~ㄹㅇ 이 노래 하이라이트이자 라이브가서 떼창하고싶은 부분..라이브가서 떼창하면 얼마나 소름돋을까 상상만으로 벌써 싸보렸네..
욘두-p5h,"2017년 4/16일 내한했을 때 스탠딩 9번으로 맨 앞에서 펜스 잡고 직관했었는데… 군대 가기 전 큰맘 먹고 갔는데 내 생애 첫 콘서트이자 내 인생 최고의 추억 중 하나가 되어버렸네… 앞에선 크리스 마틴이 뒤에선 5만여 명의 관중들 목소리가 한번에 울려 퍼지는데 나도 모르게 따라 부르면서 폭풍오열했던 기억이 나네ㅎㅎ 그때 서로 초면인데도 즉석에서 친해진 형, 누나, 동생들… 그리고 콘서트의 시작과 함께 들어오던 자이로밴드의 불빛, 밤하늘을 밝히던 폭죽, 바람과 함께 흩날리던 종이 꽃가루 모든게 완벽했던 하루였다."
maHappyEnding,시험 공부 안했는데 만점 받을수 있을것만같은 자신감을 주는 노래.
석입,번역은 영어 실력보다는 한글 실력이 더 중요한 것 같기도 하다.. 시적인 아름다운 가사에 가슴 벅차는 멜로디에 자꾸 온몸이 찌릿찌릿하네
cheeze8832,옛날에 전쟁할때 왜 타악기를 쳤는지 바로 이해가 됨 내한때 북소리 듣자마자 속에서 막 끓어 오르더라ㅋㅋㅋ
lancepretuna1156,생존자 찾지 마라 우린 죽은적도 떠난적도 없이 항상 있었다.
우유탄쬬리퐁,내일 이 노래가 특별해지길 바랍니다.
junhwijeong2526,이노래 듣는 모든분이 행복했으면..
4a3d,여기 그 댓글 어디갔지?? 2:10 만약 이때 실수해서 손 찧고 아아악! 이러고 공연장 갑분싸되면 어땠을까 하던 거 ㅋㅌㅋㅋㅋㅋㅋ
dohyunlim5139,"이곡은 파란만장한 인생 속에서도 큰 족적을 남긴 화가 프리다 칼로의 마지막 작품 인생이여 만세 (viva la vida) 에 영감을받아 만들어졌다.짧든 길든 굵은 삶은 살았던 사람이 할 수 있는 이야기, 인생이여, 만세"
JERJEON,와 진짜 영화 한장면 넣어놓은거 같음..전율이 미쳤음...와...소름돋는다
아야오이,Viva La Vida에서 숨은 주인공은 북치시는 분이다...
user-io1ox1io7f,"한국대중가요 99%가 사랑,이별노랜데 그런것만 듣다가 팝송들으면 가사 좋은곡들 많구나싶음"
이지수-w8d,북 박자 한번도 안틀리고 일정하게 진짜 잘 친다bbbbb
우광진-i6w,아버지를 보내드리고 이 노래를 알게되었어요. 너무 슬픈 일이지만 큰 위로라고 해야하나 뭐라고 표현해야할 지 모르겠네요.  좋은 음악을 만들어 준 ajr에게 감사하고 아버님이 평안히 쉬시길 기도할게요. 그리고 가사 너무 번역 잘해주신 머학생님께도 감사를 드립니다.
ryanchangkorea,단지 방구석에서 좁아터진 24인치모니터로 봐도 가슴이 터질지경인데 직관하신 분들은 창공을 날았겠군요. 개인적으로 정말 좋아라하는 뮤비중에 하나가 됐네요. 번역자님께 감사합니다.
저미-p1e,콜플 사랑해
